,City,coords,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
144,solnechnyy,"(60.996703215142446, 136.4946267766128)",88,ru,1529948047,82,50.72,136.64,55.02,5.5
145,cabo san lucas,"(9.774506132860765, -124.03115288848815)",5,mx,1529945040,48,22.89,-109.91,87.8,4.7
146,humberto de campos,"(-0.8434871910700537, -42.7806725188791)",92,br,1529948050,80,-2.6,-43.46,84.99,9.53
147,maragogi,"(-14.164601069721684, -26.074464465001967)",48,br,1529947942,81,-9.01,-35.22,78.51,11.43
149,chokurdakh,"(82.67126905770903, 154.45349930806833)",64,ru,1529948053,88,70.62,147.9,32.25,19.48
150,hovd,"(45.81986970204309, 102.01739652729412)",24,mn,1529948055,41,48.01,91.64,60.78,2.15
151,puerto escondido,"(9.226388282040304, -98.72180398980099)",20,mx,1529945100,66,15.86,-97.07,87.8,4.72
152,ahipara,"(-36.06930427424624, 166.6904812777671)",88,nz,1529948057,90,-35.17,173.16,54.84,20.04
153,northam,"(-29.9606430746015, 119.23595772332322)",68,au,1529946000,51,-31.65,116.67,59,9.17
154,sao filipe,"(6.483375913713459, -30.681555197823002)",0,cv,1529948060,93,14.9,-24.5,74.91,13
155,vestmannaeyjar,"(53.66177816732571, -21.01866365484861)",75,is,1529946000,81,63.44,-20.27,46.4,17.22
156,gelendzhik,"(44.568937985678986, 38.085900629025446)",48,ru,1529948062,87,44.56,38.08,77.61,10.54
157,kisangani,"(0.520809324665052, 26.66396002833264)",56,cd,1529948063,89,0.52,25.21,75.36,1.48
158,ventspils,"(58.17827636608237, 20.382691455912237)",75,lv,1529947200,77,57.39,21.56,60.8,5.82
159,sauce,"(-6.750120140444906, -76.11406534186972)",40,pe,1529946000,66,-6.69,-76.22,86,2.59
161,souillac,"(-46.34601646640974, 70.3938569346426)",75,mu,1529946000,64,-20.52,57.52,73.4,12.75
162,casper,"(43.292357904419106, -106.55124785009735)",1,us,1529945580,43,42.87,-106.31,71.6,8.05
163,skovorodino,"(52.83416808802815, 123.50205152370421)",92,ru,1529948071,99,53.99,123.94,56.64,6.62
164,bilibino,"(67.66343499398585, 168.60081365585665)",76,ru,1529948072,75,68.06,166.44,52.68,2.59
166,sept-iles,"(50.26954201841127, -65.3354694329737)",75,ca,1529946000,54,50.2,-66.38,53.6,8.05
167,salalah,"(18.87039439619666, 49.8991769636242)",48,om,1529947840,100,17.01,54.1,79.86,7.52
168,tarakan,"(2.7285085447138897, 118.33381771229625)",24,id,1529948077,100,3.3,117.63,78.15,1.36
169,erdenet,"(49.70047506221189, 104.68363194330504)",12,mn,1529948078,79,49.03,104.04,51.42,2.71
171,rio claro,"(9.737507856434306, -60.144286329649916)",40,tt,1529946000,74,10.31,-61.18,86,16.11
173,marrakesh,"(32.41810445893857, -7.7750357779975445)",0,ma,1529946000,31,31.63,-7.99,87.8,5.82
174,qaanaaq,"(76.36936287010059, -72.61417577336675)",44,gl,1529948084,100,77.48,-69.36,31.44,1.92
175,olga,"(40.90065847102008, 136.66751935001122)",88,ru,1529948085,90,43.74,135.29,52.68,2.59
177,lively,"(46.44117120959257, -81.42055946679044)",5,ca,1529946000,29,46.43,-81.15,62.6,9.17
178,mattru,"(6.1978921683137, -12.60453184991917)",92,sl,1529948089,92,7.62,-11.83,78.78,3.94
179,victoria,"(1.6699744865045716, 61.31220274391049)",40,sc,1529946000,88,-4.62,55.45,78.8,9.17
180,castro,"(-52.02259800091131, -100.48554584746753)",92,cl,1529948091,98,-42.48,-73.76,51.06,12.44
181,pemba,"(-13.476788339235668, 40.791255318074235)",0,mz,1529948092,100,-12.97,40.52,78.78,17.25
182,port blair,"(13.044874075788996, 90.90525083391879)",88,in,1529948094,100,11.67,92.75,81.21,19.26
183,havelock,"(32.512623986020444, -76.00239265277024)",75,us,1529945880,62,34.88,-76.9,89.6,3.36
185,bosaso,"(11.106196303824873, 47.1969624486029)",20,so,1529948097,93,11.28,49.18,86.88,3.49
187,iqaluit,"(58.466838257019674, -75.27347374685203)",75,ca,1529946000,80,63.75,-68.52,39.2,6.93
189,constitucion,"(17.633960141987686, -119.97163709313196)",5,mx,1529944860,46,23.99,-104.67,73.4,4.7
190,thompson,"(73.42112596751633, -94.32741528054468)",75,ca,1529947500,54,55.74,-97.86,80.6,11.41
191,khatanga,"(73.48657562611433, 99.82844766300207)",0,ru,1529948104,61,71.98,102.47,60.42,13.67
192,college,"(71.50309738640112, -147.35844123883297)",75,us,1529945760,59,64.86,-147.8,60.8,2.59
193,bud,"(71.92305002099704, 3.1117014013112225)",40,no,1529945400,63,62.91,6.91,60.8,10.29
194,hohhot,"(41.788633864924236, 110.99396376395595)",0,cn,1529946000,72,40.81,111.65,66.2,4.47
195,sitka,"(39.653964781263454, -144.2737385234198)",0,us,1529948109,99,37.17,-99.65,75.81,6.62
196,bereznik,"(62.75770435786836, 42.38424728015619)",32,ru,1529948111,89,62.86,42.71,68.88,6.96
197,bluff,"(-89.37812028253161, 160.3704855890154)",88,nz,1529948112,100,-46.6,168.33,46.2,23.29
199,marsa matruh,"(28.692888587932927, 26.530426083295993)",0,eg,1529946000,69,31.35,27.25,78.8,6.93
200,henties bay,"(-22.12724855582927, 7.09622328555173)",0,na,1529948116,95,-22.12,14.28,58.62,9.42
202,kupang,"(-11.536551583718548, 123.63467675538249)",64,id,1529948118,85,-10.16,123.6,78.96,15.46
203,portland,"(-50.774951156656776, 135.9804967084268)",0,au,1529948119,77,-33.35,149.98,22.71,1.59
204,kalmunai,"(4.10718777106824, 87.99951718263458)",56,lk,1529948121,93,7.42,81.82,75.54,2.37
206,cuenca,"(40.530477684107524, -2.2883352529756564)",36,es,1529948045,28,40.07,-2.13,84.18,5.06
207,sao caetano de odivelas,"(0.28198629449717316, -48.21685857425766)",8,br,1529948125,88,-0.75,-48.02,85.89,9.53
209,camargo,"(-20.069095158312052, -64.72728190595744)",0,bo,1529948127,45,-20.64,-65.21,57.9,4.05
